" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example E: a three-dimensional structure showing lateral-torsional dynamic modes (units: kip  in)               "
" Sat May 17 15:28:08 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 31 , 63  
 Last Row , 1 , 28 , 60 , 74  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,  2.52283e+00, -1.42547e+00,  8.08439e-04,  9.63558e-03,  8.56565e-05,  1.43923e-01,
     2,  2.52283e+00,  8.93716e+00,  7.63374e-03, -2.72972e-05, -6.12849e-05,  1.43949e-01,
     3,  2.52283e+00,  1.93049e+01, -8.82321e-04, -1.14415e-02,  4.02034e-04,  1.43959e-01,
     4, -2.65860e+00,  1.93049e+01, -3.87679e-01, -1.02539e-02,  5.63868e-03,  1.43943e-01,
     5, -7.84004e+00,  1.93049e+01, -7.47448e-01, -9.87121e-03,  1.05880e-02,  1.43960e-01,
     6, -7.84004e+00,  8.93716e+00, -1.80700e-03, -5.46989e-04,  9.70896e-03,  1.43949e-01,
     7, -7.84004e+00, -1.42547e+00,  6.89013e-01,  9.43364e-03,  9.48119e-03,  1.43924e-01,
     8, -2.65860e+00, -1.42547e+00,  3.47340e-01,  9.54781e-03,  4.57591e-03,  1.43928e-01,
     9,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    10,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    11,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    12, -2.65860e+00,  8.93716e+00,  6.35677e-03, -8.02859e-05,  5.09948e-03,  1.43941e-01,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1, -7.62786e+01,  2.19655e-01, -1.09896e+02,  1.54338e+03,  4.97545e+03,  2.21842e+02,
     1,     2,  7.62786e+01, -2.19655e-01,  1.09896e+02, -1.54338e+03,  2.93651e+03,  5.84420e+02,
     2,     2, -1.88569e+01, -4.56449e+01, -5.35087e+01,  1.82311e+03, -1.28793e+03, -1.61453e+03,
     2,     3,  1.88569e+01,  4.56449e+01,  5.35087e+01, -1.82311e+03,  5.14072e+03, -1.47640e+03,
     3,     3,  8.70321e+01,  8.08868e+01, -3.18958e+02, -1.67282e+03,  2.22029e+04,  1.46260e+03,
     3,     4, -8.70321e+01, -8.08868e+01,  3.18958e+02,  1.67282e+03, -1.07541e+04,  9.98372e+02,
     4,     4,  3.23559e+01,  7.32811e+01, -2.12542e+02, -1.58102e+03,  9.12914e+03,  9.98723e+02,
     4,     5, -3.23559e+01, -7.32811e+01,  2.12542e+02,  1.58102e+03, -1.48928e+03,  1.47175e+03,
     5,     5,  7.32811e+01, -3.23560e+01, -2.12542e+02,  1.48929e+03,  1.58102e+03, -1.47175e+03,
     5,     6, -7.32811e+01,  3.23560e+01,  2.12542e+02, -1.48929e+03,  1.37766e+04, -1.61764e+03,
     6,     6,  7.87859e+00,  1.24268e+01,  4.41172e-01,  1.59413e+03, -1.59328e+03,  5.83927e+02,
     6,     7, -7.87859e+00, -1.24268e+01, -4.41172e-01, -1.59413e+03,  1.56696e+03,  2.29161e+02,
     7,     7,  1.24269e+01, -7.87862e+00,  4.41177e-01, -1.56696e+03, -1.59413e+03, -2.29161e+02,
     7,     8, -1.24269e+01,  7.87862e+00, -4.41177e-01,  1.56696e+03,  1.57400e+03, -1.18859e+02,
     8,     8,  2.14020e+01, -6.70170e+00,  1.05014e+02, -1.43439e+03, -3.11182e+03, -1.16519e+02,
     8,     1, -2.14020e+01,  6.70170e+00, -1.05014e+02,  1.43439e+03, -6.76116e+02, -2.35635e+02,
     9,     9, -2.14910e+02,  2.16216e+01,  5.75770e+01, -1.37926e+01, -3.30599e+03,  1.42098e+03,
     9,     1,  2.14910e+02, -2.16216e+01, -6.95770e+01,  1.37926e+01, -3.54107e+03,  8.67270e+02,
    10,    10,  2.34550e+02, -3.67323e+02,  4.40299e+01, -1.37961e+01, -3.12740e+03, -2.45807e+04,
    10,     3, -2.34550e+02,  3.67323e+02, -6.20299e+01,  1.37961e+01, -3.46792e+03, -2.40260e+04,
    11,    11,  4.80360e+02, -1.54299e+02, -1.55607e+02, -1.37951e+01,  1.07680e+04, -1.14164e+04,
    11,     6, -4.80360e+02,  1.54299e+02,  1.31607e+02,  1.37951e+01,  1.07109e+04, -1.13925e+04,
    12,    12,  4.58646e+01,  5.74218e+01,  5.63868e+01, -1.64858e+03, -1.75014e+03,  7.99427e+02,
    12,     2, -4.58646e+01, -5.74218e+01, -5.63868e+01,  1.64858e+03, -2.79723e+02,  1.03011e+03,
    13,    12,  7.60568e+00, -5.46762e+01,  1.06417e+02,  1.62495e+03, -7.57321e+03, -2.01845e+03,
    13,     4, -7.60568e+00,  5.46762e+01, -1.06417e+02, -1.62495e+03, -9.17866e+01, -1.99709e+03,
    14,    12,  1.09516e+02,  6.62044e+01, -2.67377e+02, -1.47247e+03, -1.66302e+03,  7.95990e+02,
    14,     6, -1.09516e+02, -6.62044e+01,  2.67377e+02,  1.47247e+03,  1.12877e+04,  1.01992e+03,
    15,    12, -1.17696e+00,  8.97514e+00,  1.04573e+02,  1.53782e+03, -7.39710e+03,  4.23029e+02,
    15,     8,  1.17696e+00, -8.97514e+00, -1.04573e+02, -1.53782e+03, -1.32579e+02,  2.35377e+02,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     2,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     3,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     4,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     5,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     8,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     9, -5.75770e+01,  2.16216e+01, -2.14910e+02, -1.42098e+03, -3.30599e+03, -1.37929e+01,
    10, -4.40299e+01, -3.67323e+02,  2.34550e+02,  2.45807e+04, -3.12740e+03, -1.37958e+01,
    11,  1.55607e+02, -1.54299e+02,  4.80360e+02,  1.14164e+04,  1.07680e+04, -1.37946e+01,
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 1.604e-06
